Idx,Name,Stdmode,Shape,Weight,Anicount,Source,Reserved,Looks,DuraMax,Ac,Ac2,Mac,Mac2,Dc,Dc2,Mc,Mc2,Sc,Sc2,Need,NeedLevel,Price,Stock,Color,OverLap,HP,MP,Light,Horse,Element,Expand1,Expand2,Expand3,Element1,Element2,Element3,Element4,Element5,Element6,Element7,Element8,Element9,Element10,Element11,Element12,Element13,Element14,Element15,Element16,Element17,Element18,Element19,Element20
10,基本剑术,4,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,500,50,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,攻杀剑术,4,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2000,10,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,刺杀剑术,4,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,半月弯刀,4,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,8000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,野蛮冲撞,4,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,8000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,烈火剑法,4,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,雷霆剑法,4,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,500,50,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,狮子吼,4,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,500,50,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,双龙斩,4,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,500,50,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,彻地钉,4,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,500,50,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,开天斩,4,0,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,20000,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,龙影剑法,4,0,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,20000,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,逐日剑法,4,0,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,500,50,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,擒龙手,4,0,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,500,50,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,火球术,4,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,500,50,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,大火球,4,1,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2000,10,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,抗拒火环,4,1,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,500,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,诱惑之光,4,1,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,1000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,地狱火,4,1,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,雷电术,4,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,瞬息移动,4,1,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,2000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,爆裂火焰,4,1,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,3000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,火墙,4,1,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,3000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,疾光电影,4,1,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,地狱雷光,4,1,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,8000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,魔法盾,4,1,1,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,圣言术,4,1,1,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,冰咆哮,4,1,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,流星火雨,4,1,1,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,精神力战法,4,2,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,500,50,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,治愈术,4,2,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,500,50,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,施毒术,4,2,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1000,10,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,灵魂火符,4,2,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,召唤骷髅,4,2,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,2000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,隐身术,4,2,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,2000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,集体隐身术,4,2,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,3000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,幽灵盾,4,2,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,5000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,神圣战甲术,4,2,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,心灵启示,4,2,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,5000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,困魔咒,4,2,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,8000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,召唤神兽,4,2,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,群体治疗术,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,飓风破,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,群体施毒术,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,气功波,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,净化术,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,无极真气,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,噬血术,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,解毒术,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,诅咒术,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,召唤月灵,4,2,1,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,乾坤大挪移,4,99,1,0,0,0,1144,39,0,0,0,0,0,0,0,0,0,0,0,0,10,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,分身术,4,99,1,0,0,0,1144,39,0,0,0,0,0,0,0,0,0,0,0,0,10,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,护体神盾,4,99,1,0,0,0,1144,39,0,0,0,0,0,0,0,0,0,0,0,0,10,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,破魂斩,4,99,1,98,0,0,1144,43,0,0,0,0,0,0,0,0,0,0,0,0,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,劈星斩,4,99,1,98,0,0,1144,43,0,0,0,0,0,0,0,0,0,0,0,0,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,雷霆一击,4,99,1,98,0,0,1144,43,0,0,0,0,0,0,0,0,0,0,0,0,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,噬魂沼泽,4,99,1,98,0,0,1144,43,0,0,0,0,0,0,0,0,0,0,0,0,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,末日审判,4,99,1,98,0,0,1144,43,0,0,0,0,0,0,0,0,0,0,0,0,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,火龙气焰,4,99,1,98,0,0,1144,43,0,0,0,0,0,0,0,0,0,0,0,0,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,追心刺,4,0,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,三绝杀,4,0,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,断岳斩,4,0,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,横扫千军,4,0,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,凤舞祭,4,1,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,惊雷爆,4,1,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,冰天雪地,4,1,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,双龙破,4,1,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,虎啸诀,4,2,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,八卦掌,4,2,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,三焰咒,4,2,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,万剑归宗,4,2,1,97,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,倚天辟地,4,99,1,0,0,0,1582,50,0,0,0,0,0,0,0,0,0,0,0,0,10,10000,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,英雄基本剑术,4,0,1,95,0,0,1144,1,0,0,0,0,0,0,0,0,0,0,0,0,500,50,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,英雄攻杀剑术,4,0,1,95,0,0,1144,19,0,0,0,0,0,0,0,0,0,0,0,0,2000,10,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,英雄刺杀剑术,4,0,1,95,0,0,1144,25,0,0,0,0,0,0,0,0,0,0,0,0,4545,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,英雄半月弯刀,4,0,1,95,0,0,1144,28,0,0,0,0,0,0,0,0,0,0,0,1,8000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,英雄野蛮冲撞,4,0,1,95,0,0,1144,30,0,0,0,0,0,0,0,0,0,0,0,0,8000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,英雄烈火剑法,4,0,1,95,0,0,1144,35,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,英雄狮子吼,4,0,1,95,0,0,1144,38,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,英雄开天斩,4,0,1,95,0,0,1144,44,0,0,0,0,0,0,0,0,0,0,0,2000,10,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,英雄逐日剑法,4,0,1,95,0,0,1144,47,0,0,0,0,0,0,0,0,0,0,0,500,50,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,英雄双龙斩,4,0,0,95,0,0,1144,42,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,英雄火球术,4,1,1,95,0,0,1144,1,0,0,0,0,0,0,0,0,0,0,0,0,500,50,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,英雄抗拒火环,4,1,1,95,0,0,1144,12,0,0,0,0,0,0,0,0,0,0,0,0,500,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,英雄诱惑之光,4,1,1,95,0,0,1144,13,0,0,0,0,0,0,0,0,0,0,0,1,1000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,英雄地狱火,4,1,1,95,0,0,1144,16,0,0,0,0,0,0,0,0,0,0,0,0,1000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,英雄雷电术,4,1,1,95,0,0,1144,17,0,0,0,0,0,0,0,0,0,0,0,0,1000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,英雄大火球,4,1,1,95,0,0,1144,19,0,0,0,0,0,0,0,0,0,0,0,0,2000,10,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,英雄瞬息移动,4,1,1,95,0,0,1144,19,0,0,0,0,0,0,0,0,0,0,0,1,2000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,英雄爆裂火焰,4,1,1,95,0,0,1144,22,0,0,0,0,0,0,0,0,0,0,0,1,2727,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,英雄火墙,4,1,1,95,0,0,1144,24,0,0,0,0,0,0,0,0,0,0,0,1,4545,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,英雄疾光电影,4,1,1,95,0,0,1144,26,0,0,0,0,0,0,0,0,0,0,0,0,9091,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,英雄地狱雷光,4,1,1,95,0,0,1144,30,0,0,0,0,0,0,0,0,0,0,0,1,8000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,英雄魔法盾,4,1,1,95,0,0,1144,31,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,英雄圣言术,4,1,1,95,0,0,1144,32,0,0,0,0,0,0,0,0,0,0,0,0,10000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,英雄冰咆哮,4,1,1,95,0,0,1144,35,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,英雄寒冰掌,4,1,1,95,0,0,1144,36,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,英雄灭天火,4,1,1,95,0,0,1144,38,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,英雄火龙烈焰,4,1,1,95,0,0,1144,46,0,0,0,0,0,0,0,0,0,0,0,0,20000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,英雄分身术,4,1,1,95,0,0,1144,44,0,0,0,0,0,0,0,0,0,0,0,2000,10,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,英雄流星火雨,4,1,1,95,0,0,1144,47,0,0,0,0,0,0,0,0,0,0,0,9091,5,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,英雄治愈术,4,2,1,95,0,0,1144,1,0,0,0,0,0,0,0,0,0,0,0,0,500,50,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,英雄精神战法,4,2,1,95,0,0,1144,9,0,0,0,0,0,0,0,0,0,0,0,0,500,50,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,英雄施毒术,4,2,1,95,0,0,1144,14,0,0,0,0,0,0,0,0,0,0,0,0,1000,10,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,英雄灵魂火符,4,2,1,95,0,0,1144,18,0,0,0,0,0,0,0,0,0,0,0,0,1000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,英雄召唤骷髅,4,2,1,95,0,0,1144,19,0,0,0,0,0,0,0,0,0,0,0,1,2000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,英雄隐身术,4,2,1,95,0,0,1144,20,0,0,0,0,0,0,0,0,0,0,0,1,2000,5,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
